Serial Number,Name,Symptoms
652,Glaucoma,"Patchy blind spots in your side (peripheral) or central vision, frequently in both eyes,Tunnel vision in the advanced stages,"
653,Adjustment disorders,"Feeling sad, hopeless or not enjoying things you used to enjoy,Frequent crying,Worrying or feeling anxious, nervous, jittery or stressed out,Trouble sleeping,Lack of appetite,Difficulty concentrating,Feeling overwhelmed,Difficulty functioning in daily activities,Withdrawing from social supports,Avoiding important things such as going to work or paying bills,Suicidal thoughts or behavior,"
654,Q fever,"High fever, up to 105 F (41 C),Severe headache,Fatigue,Chills,Cough,Nausea,Vomiting,Diarrhea,Sensitivity to light,"
655,E. coli,"
Mayo Clinic Minute: Avoiding summer E. coli infection
,"
656,Swimmer's itch,"Geese,Ducks,Gulls,Beavers,Muskrats,"
657,Retinal detachment,"The sudden appearance of many floaters — tiny specks that seem to drift through your field of vision,Flashes of light in one or both eyes (photopsia),Blurred vision,Gradually reduced side (peripheral) vision,A curtain-like shadow over your visual field,"
658,Nail fungus,"Thickened,Whitish to yellow-brown discoloration,Brittle, crumbly or ragged,Distorted in shape,A dark color, caused by debris building up under your nail,Smelling slightly foul,"
659,Colon polyps,"Rectal bleeding. This can be a sign of colon polyps or cancer or other conditions, such as hemorrhoids or minor tears in your anus.,Change in stool color. Blood can show up as red streaks in your stool or make stool appear black. A change in color may also be caused by foods, medications and supplements.,Change in bowel habits. Constipation or diarrhea that lasts longer than a week may indicate the presence of a large colon polyp. But a number of other conditions can also cause changes in bowel habits.,Pain. A large colon polyp can partially obstruct your bowel, leading to crampy abdominal pain.,Iron deficiency anemia. Bleeding from polyps can occur slowly over time, without visible blood in your stool. Chronic bleeding robs your body of the iron needed to produce the substance that allows red blood cells to carry oxygen to your body (hemoglobin). The result is iron deficiency anemia, which can make you feel tired and short of breath.,"
660,Noonan syndrome,"Eyes are wide-set and down-slanting with droopy lids. Irises are pale blue or green.,Ears are low-set and rotated backward.,Nose is depressed at the top, with a wide base and bulbous tip.,Mouth has a deep groove between the nose and the mouth and wide peaks in the upper lip. The crease that runs from the edge of the nose to the corner of the mouth becomes deeply grooved with age. Teeth may be crooked, the inside roof of the mouth (palate) may be highly arched and the lower jaw may be small.,Facial features may appear coarse, but appear sharper with age. The face may appear droopy and expressionless.,Head may appear large with a prominent forehead and a low hairline on the back of the head.,Skin may appear thin and transparent with age.,"
661,Measles,"
Measles
,
Measles vaccine: Can I get the measles if I've already been vaccinated?
,"
662,Myoclonus,"Sudden,Brief,Involuntary,Shock-like,Variable in intensity and frequency,Localized to one part of the body or all over the body,Sometimes severe enough to interfere with eating, speaking or walking,"
663,Essential thrombocythemia,"Headache,Dizziness or lightheadedness,Chest pain,Fainting,Temporary vision changes,Numbness or tingling of the hands and feet,Redness, throbbing and burning pain in the hands and feet (erythromelalgia),"
664,Small bowel cancer,"Abdominal pain,Yellowing of the skin and the whites of the eyes (jaundice),Feeling unusually weak or tired,Nausea,Vomiting,Losing weight without trying,Blood in the stool, which might appear red or black,Watery diarrhea,Skin flushing,"
665,Sacral dimple,"Spina bifida. A very mild form of this condition, called spina bifida occulta, occurs when the spine doesn't close properly around the spinal cord but the cord remains within the spinal canal. In most cases, spina bifida occulta causes no symptoms.,Tethered cord syndrome. The spinal cord normally hangs freely within the spinal canal. Tethered cord syndrome is a disorder that occurs when tissue attached to the spinal cord limits its movements. Signs and symptoms may include weakness or numbness in the legs and bladder or bowel incontinence.,"
666,Syphilis,"Mayo Clinic Minute: Signs and symptoms of syphilis,"
667,Breast pain,"Continues daily for more than a couple of weeks,Occurs in one specific area of your breast,Seems to be getting worse over time,Interferes with daily activities,"
668,Guillain-Barre syndrome,"Prickling, pins and needles sensations in your fingers, toes, ankles or wrists,Weakness in your legs that spreads to your upper body,Unsteady walking or inability to walk or climb stairs,Difficulty with facial movements, including speaking, chewing or swallowing,Double vision or inability to move eyes,Severe pain that may feel achy, shooting or cramplike and may be worse at night,Difficulty with bladder control or bowel function,Rapid heart rate,Low or high blood pressure,Difficulty breathing,"
669,Pericarditis,"
Chest X-rays
,
CT scan
,
Echocardiogram
,
Electrocardiogram (ECG or EKG)
,
MRI
,"
670,Post-traumatic stress disorder (PTSD),"Recurrent, unwanted distressing memories of the traumatic event,Reliving the traumatic event as if it were happening again (flashbacks),Upsetting dreams or nightmares about the traumatic event,Severe emotional distress or physical reactions to something that reminds you of the traumatic event,"
671,Dengue fever,"Headache,Muscle, bone and joint pain,Nausea,Vomiting,Pain behind the eyes,Swollen glands,Rash,"
672,Norovirus infection,"Nausea,Vomiting,Stomach pain or cramps,Watery or loose diarrhea,Feeling ill,Low-grade fever,Muscle pain,"
673,Eosinophilic esophagitis,"Difficulty swallowing (dysphagia),Food getting stuck in the esophagus after swallowing (impaction),Chest pain that is often centrally located and does not respond to antacids,Persistent heartburn,Upper abdominal pain,No response to gastroesophageal reflux disease (GERD) medication,Backflow of undigested food (regurgitation),"
674,Priapism,"Erection lasting more than four hours or unrelated to sexual interest or stimulation,Rigid penile shaft, but the tip of penis (glans) is soft,Progressive penile pain,"
675,Stickler syndrome,"Eye problems. In addition to having severe nearsightedness, children who have Stickler syndrome often experience cataracts, glaucoma and retinal detachments.,Hearing difficulties. The extent of hearing loss varies among people who have Stickler syndrome. It usually affects the ability to hear high frequencies.,Bone and joint abnormalities. Children who have Stickler syndrome often have overly flexible joints and are more likely to develop abnormal curvatures of the spine, such as scoliosis. Osteoarthritis can begin in adolescence.,"
676,Whooping cough,"
Chest X-rays
,"
677,Tuberculosis,"Latent TB. In this condition, you have a TB infection, but the bacteria remain in your body in an inactive state and cause no symptoms. Latent TB, also called inactive TB or TB infection, isn't contagious. It can turn into active TB, so treatment is important for the person with latent TB and to help control the spread of TB. An estimated 2 billion people have latent TB.,Active TB. This condition makes you sick and in most cases can spread to others. It can occur in the first few weeks after infection with the TB bacteria, or it might occur years later.,"
678,Vaginal agenesis,"
Book: Mayo Clinic Family Health Book, 5th Edition
,
Newsletter: Mayo Clinic Health Letter — Digital Edition
,"
679,Arteriovenous malformation,"Bleeding,Progressive loss of neurological function,Headaches,Nausea and vomiting,Seizures,Loss of consciousness,"
680,Ascariasis,"Persistent cough,Shortness of breath,Wheezing,"
681,Progressive supranuclear palsy,"A loss of balance while walking. A tendency to fall backward can occur very early in the disease.,An inability to aim your eyes properly. You may have particular difficulty looking downward, or experience blurring and double vision. This difficulty with focusing the eyes can make some people spill food or appear disinterested in conversation because of poor eye contact.,"
682,Bags under eyes,"Mild swelling,Saggy or loose skin,Dark circles,"
683,Elevated blood pressure,"Obstructive sleep apnea,Kidney disease,Adrenal disease,Thyroid disease,"
684,Heart valve disease,"
Heart valve surgery
,"
685,Dislocated elbow,"Extreme pain,Obvious distortion of the joint,"
686,Pseudomembranous colitis,"Symptoms & causes,Diagnosis & treatment,Doctors & departments,"
687,Familial Mediterranean fever,"Fever,Abdominal pain,Chest pain,Achy, swollen joints,A red rash on your legs, especially below your knees,Muscle aches,A swollen, tender scrotum,"
688,Subconjunctival hemorrhage (broken blood vessel in eye),"Symptoms & causes,Diagnosis & treatment,"
689,Mesenteric ischemia,"Abrupt, severe abdominal pain,Urgent need to have a bowel movement,Fever,Nausea and vomiting,"
690,Balance problems,"Sense of motion or spinning (vertigo),Feeling of faintness or lightheadedness (presyncope),Loss of balance or unsteadiness,Falling or feeling like you might fall,Feeling a floating sensation or dizziness,Vision changes, such as blurriness,Confusion,"
691,Hyperglycemia in diabetes,"Frequent urination,Increased thirst,Blurred vision,Fatigue,Headache,"
692,Mental illness,"Feeling sad or down,Confused thinking or reduced ability to concentrate,Excessive fears or worries, or extreme feelings of guilt,Extreme mood changes of highs and lows,Withdrawal from friends and activities,Significant tiredness, low energy or problems sleeping,Detachment from reality (delusions), paranoia or hallucinations,Inability to cope with daily problems or stress,Trouble understanding and relating to situations and to people,Problems with alcohol or drug use,Major changes in eating habits,Sex drive changes,Excessive anger, hostility or violence,Suicidal thinking,"
